Debut: 198
Fin: 425
415 <- 39
40 -> 28
40 -> 79
40 -> 171
40 -> 201
40 -> 258
40 -> 320
40 -> 327
359 <- 40
40 -> 364
487 <- 40
41 -> 399
409 <- 41
42 -> 89
106 <- 42
42 -> 164
213 <- 42
42 -> 249
42 -> 295
42 -> 409
70 <- 43
88 <- 43
134 <- 43
172 <- 43
182 <- 43
241 <- 43
269 <- 43
303 <- 43
339 <- 43
43 -> 437
448 <- 43
43 -> 481
100 <- 44
155 <- 44
201 <- 44
400 <- 44
45 -> 39
102 <- 45
201 <- 45
308 <- 45
45 -> 322
45 -> 366
45 -> 426
429 <- 45
45 -> 469
484 <- 45
486 <- 45
46 -> 132
46 -> 147
46 -> 227
248 <- 46
260 <- 46
340 <- 46
46 -> 426
451 <- 46
47 -> 338
342 <- 47
395 <- 47
47 -> 414
444 <- 47
11 <- 48
73 <- 48
48 -> 104
126 <- 48
48 -> 146
176 <- 48
48 -> 319
431 <- 48
39 <- 49
75 <- 49
90 <- 49
111 <- 49
49 -> 156
49 -> 243
49 -> 431
468 <- 49
474 <- 49
246 <- 50
50 -> 339
437 <- 50
47 <- 51
62 <- 51
51 -> 137
51 -> 146
230 <- 51
261 <- 51
51 -> 263
470 <- 51
52 -> 78
52 -> 241
52 -> 330
53 -> 111
53 -> 146
247 <- 53
53 -> 264
53 -> 329
53 -> 399
53 -> 432
460 <- 53
54 -> 168
54 -> 191
258 <- 54
291 <- 54
54 -> 338
346 <- 54
54 -> 357
55 -> 117
55 -> 126
231 <- 55
316 <- 55
414 <- 55
465 <- 55
56 -> 6
32 <- 56
135 <- 56
258 <- 56
373 <- 56
485 <- 56
60 <- 57
191 <- 57
57 -> 224
473 <- 57
58 -> 84
58 -> 119
208 <- 58
271 <- 58
295 <- 58
434 <- 58
38 <- 59
59 -> 108
60 -> 111
171 <- 60
211 <- 60
340 <- 60
369 <- 60
0 <- 61
60 <- 61
61 -> 228
61 -> 260
61 -> 288
61 -> 315
338 <- 61
62 -> 51
168 <- 62
171 <- 62
199 <- 62
207 <- 62
62 -> 232
62 -> 258
349 <- 62
62 -> 408
427 <- 62
62 -> 467
62 -> 469
24 <- 63
63 -> 180
63 -> 240
286 <- 63
287 <- 63
333 <- 63
63 -> 369
427 <- 63
63 -> 479
63 -> 485
148 <- 64
64 -> 284
287 <- 64
291 <- 64
64 -> 310
364 <- 64
406 <- 64
409 <- 64
410 <- 64
435 <- 64
21 <- 65
65 -> 72
65 -> 131
65 -> 144
158 <- 65
65 -> 218
65 -> 448
65 -> 482
66 -> 30
41 <- 66
77 <- 66
136 <- 66
66 -> 469
66 -> 475
66 -> 487
148 <- 67
67 -> 482
68 -> 105
141 <- 68
68 -> 145
175 <- 68
68 -> 209
68 -> 222
68 -> 302
69 -> 22
106 <- 69
69 -> 162
226 <- 69
69 -> 268
415 <- 69
426 <- 69
457 <- 69
44 <- 70
382 <- 70
383 <- 70
460 <- 70
71 -> 158
210 <- 71
71 -> 399
72 -> 48
72 -> 144
208 <- 72
72 -> 210
73 -> 48
61 <- 73
183 <- 73
205 <- 73
320 <- 73
391 <- 73
394 <- 73
73 -> 402
73 -> 438
73 -> 448
74 -> 1
74 -> 22
70 <- 74
78 <- 74
74 -> 87
2 <- 75
8 <- 75
49 <- 75
245 <- 75
362 <- 75
423 <- 75
75 -> 454
75 -> 493
499 <- 75
76 -> 105
176 <- 76
232 <- 76
249 <- 76
257 <- 76
276 <- 76
76 -> 459
76 -> 498
77 -> 66
191 <- 77
298 <- 77
77 -> 345
465 <- 77
78 -> 52
78 -> 145
78 -> 195
315 <- 78
79 -> 0
79 -> 54
111 <- 79
79 -> 168
79 -> 184
79 -> 196
79 -> 242
277 <- 79
297 <- 79
349 <- 79
394 <- 79
132 <- 80
195 <- 80
80 -> 253
255 <- 80
277 <- 80
360 <- 80
2 <- 81
22 <- 81
37 <- 81
108 <- 81
81 -> 240
81 -> 270
81 -> 438
53 <- 82
82 -> 118
139 <- 82
275 <- 82
335 <- 82
342 <- 82
454 <- 82
223 <- 83
83 -> 282
318 <- 83
389 <- 83
14 <- 84
26 <- 84
84 -> 98
84 -> 125
84 -> 128
272 <- 84
276 <- 84
84 -> 286
84 -> 347
84 -> 443
115 <- 85
85 -> 123
134 <- 85
324 <- 85
366 <- 85
85 -> 415
86 -> 37
86 -> 48
86 -> 131
86 -> 137
86 -> 200
225 <- 86
319 <- 86
86 -> 331
86 -> 421
28 <- 87
155 <- 87
87 -> 209
87 -> 242
245 <- 87
87 -> 309
336 <- 87
87 -> 470
87 -> 499
44 <- 88
247 <- 88
88 -> 278
285 <- 88
88 -> 431
161 <- 89
89 -> 184
89 -> 300
415 <- 89
17 <- 90
49 <- 90
90 -> 107
199 <- 90
319 <- 90
323 <- 90
90 -> 339
372 <- 90
90 -> 447
90 -> 464
91 -> 48
91 -> 234
291 <- 91
420 <- 91
92 -> 63
92 -> 138
192 <- 92
219 <- 92
92 -> 292
92 -> 298
358 <- 92
92 -> 416
93 -> 29
106 <- 93
133 <- 93
225 <- 93
240 <- 93
93 -> 264
93 -> 317
357 <- 93
382 <- 93
93 -> 402
94 -> 82
94 -> 93
94 -> 162
225 <- 94
94 -> 269
94 -> 331
370 <- 94
94 -> 415
417 <- 94
94 -> 431
95 -> 2
62 <- 95
95 -> 92
109 <- 95
110 <- 95
95 -> 129
95 -> 148
95 -> 187
95 -> 192
95 -> 239
430 <- 95
96 -> 12
96 -> 135
168 <- 96
96 -> 183
96 -> 459
99 <- 97
102 <- 97
104 <- 97
97 -> 182
208 <- 97
227 <- 97
97 -> 309
97 -> 376
481 <- 97
60 <- 98
141 <- 98
98 -> 151
224 <- 98
98 -> 257
99 -> 30
99 -> 44
87 <- 99
99 -> 97
99 -> 120
325 <- 99
99 -> 343
383 <- 99
99 -> 435
99 -> 467
99 -> 492
496 <- 99
44 <- 100
167 <- 100
100 -> 186
100 -> 478
101 -> 51
101 -> 168
101 -> 273
355 <- 101
101 -> 364
101 -> 438
101 -> 479
12 <- 102
202 <- 102
102 -> 205
352 <- 102
102 -> 357
478 <- 102
103 -> 116
103 -> 180
103 -> 271
103 -> 332
103 -> 347
49 <- 104
68 <- 104
76 <- 104
104 -> 187
230 <- 104
245 <- 104
104 -> 352
104 -> 399
440 <- 104
105 -> 16
57 <- 105
68 <- 105
105 -> 76
105 -> 99
105 -> 121
129 <- 105
150 <- 105
208 <- 105
105 -> 275
105 -> 289
105 -> 341
106 -> 9
52 <- 106
89 <- 106
335 <- 106
106 -> 341
382 <- 106
416 <- 106
466 <- 106
20 <- 107
22 <- 107
107 -> 51
124 <- 107
220 <- 107
107 -> 253
107 -> 294
107 -> 308
107 -> 336
496 <- 107
108 -> 91
108 -> 121
108 -> 188
109 -> 69
83 <- 109
278 <- 109
109 -> 315
494 <- 109
25 <- 110
110 -> 162
180 <- 110
193 <- 110
235 <- 110
291 <- 110
302 <- 110
110 -> 381
0 <- 111
111 -> 49
111 -> 79
111 -> 170
111 -> 176
216 <- 111
307 <- 111
324 <- 111
111 -> 355
111 -> 449
14 <- 112
43 <- 112
76 <- 112
112 -> 213
112 -> 313
361 <- 112
112 -> 379
134 <- 113
113 -> 307
113 -> 321
113 -> 377
447 <- 113
114 -> 81
114 -> 113
191 <- 114
222 <- 114
335 <- 114
372 <- 114
114 -> 376
114 -> 397
115 -> 90
95 <- 115
116 <- 115
115 -> 145
175 <- 115
115 -> 311
115 -> 493
115 <- 116
215 <- 116
341 <- 116
411 <- 116
116 -> 424
117 -> 31
117 -> 55
131 <- 117
179 <- 117
117 -> 184
117 -> 255
273 <- 117
117 -> 337
117 -> 372
117 -> 455
16 <- 118
117 <- 118
118 -> 144
169 <- 118
224 <- 118
335 <- 118
419 <- 118
115 <- 119
148 <- 119
119 -> 483
35 <- 120
241 <- 120
120 -> 335
120 -> 375
120 -> 377
442 <- 120
114 <- 121
312 <- 121
390 <- 121
420 <- 121
182 <- 122
285 <- 122
122 -> 319
485 <- 122
42 <- 123
259 <- 123
123 -> 330
123 -> 412
123 -> 433
123 -> 469
228 <- 124
124 -> 290
313 <- 124
334 <- 124
124 -> 374
384 <- 124
124 -> 442
125 -> 84
86 <- 125
125 -> 91
140 <- 125
125 -> 168
189 <- 125
205 <- 125
240 <- 125
439 <- 125
488 <- 125
135 <- 126
126 -> 170
279 <- 126
308 <- 126
126 -> 314
126 -> 382
438 <- 126
126 -> 457
52 <- 127
127 -> 102
103 <- 127
114 <- 127
120 <- 127
123 <- 127
127 -> 217
231 <- 127
127 -> 356
127 -> 395
128 -> 84
90 <- 128
128 -> 271
298 <- 128
25 <- 129
26 <- 129
129 -> 42
75 <- 129
148 <- 129
129 -> 174
323 <- 129
349 <- 129
129 -> 439
129 -> 460
130 -> 5
130 -> 41
100 <- 130
174 <- 130
253 <- 130
130 -> 438
130 -> 440
130 -> 497
131 -> 80
131 -> 117
313 <- 131
334 <- 131
7 <- 132
46 <- 132
151 <- 132
132 -> 184
132 -> 287
79 <- 133
133 -> 295
382 <- 133
431 <- 133
133 -> 467
68 <- 134
72 <- 134
134 -> 85
258 <- 134
333 <- 134
441 <- 134
483 <- 134
134 -> 498
135 -> 39
56 <- 135
135 -> 126
135 -> 146
135 -> 192
135 -> 228
323 <- 135
135 -> 394
135 -> 407
135 -> 480
135 -> 491
7 <- 136
136 -> 47
136 -> 76
114 <- 136
130 <- 136
198 <- 136
136 -> 240
307 <- 136
137 -> 21
51 <- 137
137 -> 86
129 <- 137
137 -> 275
360 <- 137
137 -> 392
406 <- 137
92 <- 138
138 -> 192
435 <- 138
138 -> 471
138 -> 475
139 -> 4
139 -> 73
362 <- 139
389 <- 139
442 <- 139
140 -> 9
12 <- 140
70 <- 140
311 <- 140
444 <- 140
140 -> 456
141 -> 68
86 <- 141
141 -> 133
141 -> 217
141 -> 289
141 -> 310
141 -> 325
141 -> 420
428 <- 141
460 <- 141
142 -> 19
142 -> 171
142 -> 398
403 <- 142
9 <- 143
199 <- 143
143 -> 238
340 <- 143
143 -> 455
490 <- 143
144 -> 25
42 <- 144
144 -> 80
219 <- 144
252 <- 144
258 <- 144
144 -> 314
386 <- 144
144 -> 394
397 <- 144
145 -> 68
145 -> 78
145 -> 106
224 <- 145
145 -> 271
145 -> 321
145 -> 334
145 -> 427
485 <- 145
115 <- 146
135 <- 146
179 <- 146
198 <- 146
201 <- 146
146 -> 303
146 -> 408
146 -> 420
123 <- 147
156 <- 147
147 -> 280
310 <- 147
334 <- 147
346 <- 147
358 <- 147
360 <- 147
380 <- 147
148 -> 12
148 -> 64
78 <- 148
129 <- 148
235 <- 148
293 <- 148
495 <- 148
15 <- 149
149 -> 40
149 -> 110
139 <- 149
191 <- 149
149 -> 196
204 <- 149
149 -> 395
400 <- 149
149 -> 463
26 <- 150
40 <- 150
150 -> 45
150 -> 113
127 <- 150
173 <- 150
182 <- 150
203 <- 150
150 -> 256
150 -> 328
150 -> 353
380 <- 150
151 -> 292
434 <- 151
475 <- 151
152 -> 78
267 <- 152
458 <- 152
152 -> 491
153 -> 125
153 -> 138
139 <- 153
153 -> 195
153 -> 201
153 -> 210
153 -> 273
153 -> 336
342 <- 153
480 <- 153
153 -> 493
154 -> 22
153 <- 154
157 <- 154
154 -> 226
154 -> 241
245 <- 154
154 -> 394
154 -> 436
481 <- 154
155 -> 64
115 <- 155
146 <- 155
202 <- 155
155 -> 282
155 -> 286
291 <- 155
460 <- 155
477 <- 155
155 -> 492
156 -> 199
156 -> 205
234 <- 156
264 <- 156
377 <- 156
156 -> 387
157 -> 160
178 <- 157
236 <- 157
157 -> 320
341 <- 157
380 <- 157
402 <- 157
4 <- 158
158 -> 53
158 -> 69
158 -> 71
158 -> 90
158 -> 116
158 -> 179
218 <- 158
158 -> 234
404 <- 158
490 <- 158
22 <- 159
159 -> 81
95 <- 159
159 -> 123
233 <- 159
249 <- 159
262 <- 159
159 -> 413
467 <- 159
159 -> 499
160 -> 14
108 <- 160
307 <- 160
347 <- 160
160 -> 422
463 <- 160
485 <- 160
15 <- 161
161 -> 87
161 -> 100
142 <- 161
151 <- 161
161 -> 401
406 <- 161
458 <- 161
162 -> 4
14 <- 162
162 -> 28
162 -> 45
162 -> 69
93 <- 162
162 -> 98
162 -> 99
146 <- 162
439 <- 162
451 <- 162
163 -> 32
218 <- 163
240 <- 163
163 -> 284
163 -> 294
163 -> 324
330 <- 163
340 <- 163
497 <- 163
42 <- 164
470 <- 164
165 -> 110
300 <- 165
382 <- 165
165 -> 384
165 -> 489
166 -> 23
59 <- 166
60 <- 166
87 <- 166
166 -> 146
166 -> 191
256 <- 166
166 -> 427
432 <- 166
167 -> 262
167 -> 288
167 -> 299
167 -> 454
168 -> 28
45 <- 168
97 <- 168
168 -> 101
252 <- 168
273 <- 168
168 -> 274
168 -> 367
168 -> 381
428 <- 168
169 -> 2
169 -> 89
118 <- 169
152 <- 169
171 <- 169
240 <- 169
169 -> 262
311 <- 169
169 -> 469
111 <- 170
170 -> 140
170 -> 308
170 -> 353
366 <- 170
60 <- 171
171 -> 62
74 <- 171
171 -> 77
85 <- 171
171 -> 159
169 <- 171
171 -> 183
499 <- 171
172 -> 87
172 -> 188
252 <- 172
397 <- 172
173 -> 62
173 -> 456
2 <- 174
174 -> 57
130 <- 174
174 -> 193
241 <- 174
319 <- 174
174 -> 363
174 -> 394
174 -> 408
464 <- 174
175 -> 68
183 <- 175
175 -> 193
45 <- 176
76 <- 176
176 -> 114
425 <- 176
177 -> 229
271 <- 177
157 <- 178
178 -> 189
178 -> 253
178 -> 261
178 -> 390
481 <- 178
179 -> 132
179 -> 158
172 <- 179
179 -> 194
206 <- 179
262 <- 179
179 -> 365
373 <- 179
179 -> 395
179 -> 397
179 -> 438
449 <- 179
180 -> 19
180 -> 21
180 -> 52
63 <- 180
93 <- 180
95 <- 180
103 <- 180
180 -> 141
180 -> 198
297 <- 180
180 -> 304
356 <- 180
180 -> 394
478 <- 180
181 -> 138
269 <- 181
389 <- 181
181 -> 429
494 <- 181
182 -> 99
150 <- 182
203 <- 182
281 <- 183
183 -> 447
486 <- 183
17 <- 184
68 <- 184
184 -> 120
132 <- 184
184 -> 203
238 <- 184
184 -> 242
278 <- 184
184 -> 312
346 <- 184
407 <- 184
184 -> 452
185 -> 133
185 -> 218
185 -> 239
185 -> 266
340 <- 185
364 <- 185
380 <- 185
185 -> 396
185 -> 444
185 -> 452
186 -> 79
186 -> 346
186 -> 420
186 -> 422
123 <- 187
163 <- 187
333 <- 187
187 -> 360
188 -> 9
27 <- 188
188 -> 87
188 -> 100
188 -> 134
188 -> 172
330 <- 188
359 <- 188
413 <- 188
189 -> 178
300 <- 189
189 -> 316
423 <- 189
189 -> 486
117 <- 190
190 -> 344
384 <- 190
190 -> 484
191 -> 54
57 <- 191
191 -> 58
191 -> 109
213 <- 191
191 -> 297
339 <- 191
372 <- 191
444 <- 191
472 <- 191
473 <- 191
191 -> 474
64 <- 192
65 <- 192
92 <- 192
192 -> 95
192 -> 138
192 -> 218
192 -> 258
288 <- 192
192 -> 289
192 -> 304
342 <- 192
192 -> 395
192 -> 415
193 -> 150
193 -> 441
24 <- 194
45 <- 194
194 -> 76
213 <- 194
261 <- 194
365 <- 194
194 -> 392
195 -> 80
195 -> 99
153 <- 195
378 <- 195
422 <- 195
195 -> 487
196 -> 18
196 -> 125
149 <- 196
196 -> 236
196 -> 239
324 <- 196
362 <- 196
196 -> 368
196 -> 430
197 -> 12
120 <- 197
132 <- 197
337 <- 197
197 -> 351
197 -> 483
28 <- 198
107 <- 198
125 <- 198
195 <- 198
236 <- 198
198 -> 292
302 <- 198
328 <- 198
198 -> 345
198 -> 466
198 -> 471
62 <- 199
199 -> 90
130 <- 199
199 -> 156
221 <- 199
457 <- 199
199 -> 470
483 <- 199
199 -> 489
39 <- 200
200 -> 74
86 <- 200
200 -> 248
200 -> 279
200 -> 343
352 <- 200
373 <- 200
200 -> 427
438 <- 200
44 <- 201
66 <- 201
98 <- 201
201 -> 146
238 <- 201
201 -> 314
354 <- 201
379 <- 201
436 <- 201
202 -> 167
202 -> 241
303 <- 202
202 -> 408
454 <- 202
202 -> 465
202 -> 480
497 <- 202
203 -> 182
184 <- 203
253 <- 203
203 -> 262
293 <- 203
203 -> 365
451 <- 203
483 <- 203
107 <- 204
204 -> 352
204 -> 388
447 <- 204
479 <- 204
205 -> 73
205 -> 193
205 -> 243
205 -> 258
263 <- 205
276 <- 205
346 <- 205
351 <- 205
205 -> 365
205 -> 427
205 -> 459
46 <- 206
206 -> 176
206 -> 179
397 <- 206
206 -> 399
206 -> 464
467 <- 206
54 <- 207
207 -> 65
8 <- 208
208 -> 157
208 -> 231
208 -> 264
208 -> 375
388 <- 208
394 <- 208
397 <- 208
208 -> 405
208 -> 434
209 -> 150
172 <- 209
209 -> 254
330 <- 209
209 -> 358
209 -> 431
459 <- 209
71 <- 210
72 <- 210
210 -> 82
248 <- 210
210 -> 264
293 <- 210
210 -> 365
210 -> 372
443 <- 210
23 <- 211
78 <- 211
228 <- 211
211 -> 276
211 -> 323
211 -> 332
211 -> 435
88 <- 212
418 <- 212
213 -> 22
213 -> 35
213 -> 75
109 <- 213
194 <- 213
219 <- 213
319 <- 213
213 -> 323
213 -> 350
360 <- 213
213 -> 369
214 -> 14
29 <- 214
214 -> 151
214 -> 218
214 -> 275
214 -> 282
298 <- 214
215 -> 35
287 <- 215
215 -> 384
215 -> 399
216 -> 226
216 -> 333
216 -> 386
217 -> 10
15 <- 217
24 <- 217
217 -> 28
122 <- 217
187 <- 217
219 <- 217
217 -> 222
217 -> 350
478 <- 217
218 -> 1
158 <- 218
218 -> 224
218 -> 251
256 <- 218
218 -> 273
281 <- 218
218 -> 303
319 <- 218
366 <- 218
464 <- 218
183 <- 219
219 -> 326
339 <- 219
220 -> 196
220 -> 340
407 <- 220
27 <- 221
167 <- 221
221 -> 199
248 <- 221
253 <- 221
328 <- 221
221 -> 351
367 <- 221
427 <- 221
14 <- 222
68 <- 222
280 <- 222
319 <- 222
328 <- 222
222 -> 341
353 <- 222
222 -> 426
222 -> 434
222 -> 451
174 <- 223
259 <- 223
270 <- 223
367 <- 223
224 -> 36
98 <- 224
224 -> 254
314 <- 224
324 <- 224
224 -> 336
432 <- 224
225 -> 335
225 -> 390
20 <- 226
226 -> 100
178 <- 226
184 <- 226
198 <- 226
202 <- 226
271 <- 226
290 <- 226
226 -> 476
226 -> 495
227 -> 57
227 -> 63
227 -> 248
279 <- 227
399 <- 227
227 -> 448
227 -> 456
124 <- 228
228 -> 135
265 <- 228
228 -> 435
228 -> 437
5 <- 229
107 <- 229
229 -> 209
229 -> 261
390 <- 229
230 -> 15
101 <- 230
129 <- 230
190 <- 230
257 <- 230
295 <- 230
230 -> 385
230 -> 407
430 <- 230
230 -> 471
231 -> 29
103 <- 231
231 -> 127
136 <- 231
231 -> 208
231 -> 262
270 <- 231
231 -> 272
339 <- 231
370 <- 231
231 -> 396
231 -> 451
5 <- 232
232 -> 106
135 <- 232
232 -> 231
232 -> 316
385 <- 232
388 <- 232
21 <- 233
233 -> 159
401 <- 233
429 <- 233
189 <- 234
234 -> 231
234 -> 355
234 -> 357
235 -> 12
235 -> 42
235 -> 148
235 -> 149
235 -> 229
250 <- 235
235 -> 456
467 <- 235
235 -> 480
236 -> 13
236 -> 67
236 -> 196
236 -> 198
236 -> 224
236 -> 265
236 -> 385
237 -> 75
186 <- 237
237 -> 225
237 -> 270
328 <- 237
347 <- 237
59 <- 238
238 -> 108
123 <- 238
238 -> 141
166 <- 238
184 <- 238
240 <- 238
238 -> 259
238 -> 419
458 <- 238
238 -> 469
238 -> 499
239 -> 0
49 <- 239
55 <- 239
239 -> 86
289 <- 239
368 <- 239
239 -> 379
397 <- 239
239 -> 405
239 -> 465
35 <- 240
240 -> 202
262 <- 240
295 <- 240
240 -> 335
358 <- 240
241 -> 32
180 <- 241
241 -> 227
300 <- 241
241 -> 328
241 -> 373
241 -> 435
130 <- 242
155 <- 242
193 <- 242
246 <- 242
260 <- 242
242 -> 272
243 -> 15
243 -> 49
243 -> 84
243 -> 165
243 -> 198
205 <- 243
287 <- 243
243 -> 345
243 -> 368
244 -> 52
124 <- 244
244 -> 287
244 -> 391
401 <- 244
245 -> 263
245 -> 266
425 <- 245
246 -> 50
246 -> 276
246 -> 395
441 <- 246
10 <- 247
21 <- 247
247 -> 47
53 <- 247
247 -> 70
88 <- 247
247 -> 157
231 <- 247
244 <- 247
247 -> 273
247 -> 330
247 -> 331
248 -> 30
248 -> 200
214 <- 248
248 -> 261
476 <- 248
249 -> 166
249 -> 177
249 -> 207
249 -> 259
285 <- 249
359 <- 249
393 <- 249
250 -> 23
41 <- 250
250 -> 165
250 -> 180
250 -> 205
250 -> 362
251 -> 25
251 -> 100
251 -> 195
218 <- 251
251 -> 310
39 <- 252
363 <- 252
252 -> 390
154 <- 253
162 <- 253
253 -> 178
253 -> 199
253 -> 225
253 -> 281
310 <- 253
253 -> 335
253 -> 355
253 -> 361
380 <- 253
253 -> 491
10 <- 254
254 -> 26
254 -> 33
37 <- 254
254 -> 173
254 -> 209
254 -> 275
388 <- 254
80 <- 255
94 <- 255
157 <- 255
255 -> 173
182 <- 255
229 <- 255
382 <- 255
255 -> 448
255 -> 479
256 -> 70
256 -> 375
256 -> 385
402 <- 256
448 <- 256
256 -> 478
96 <- 257
255 <- 257
286 <- 257
257 -> 355
14 <- 258
32 <- 258
258 -> 62
122 <- 258
192 <- 258
205 <- 258
258 -> 327
258 -> 400
258 -> 427
458 <- 258
258 -> 463
259 -> 38
89 <- 259
122 <- 259
259 -> 123
259 -> 137
249 <- 259
259 -> 326
373 <- 259
259 -> 483
40 <- 260
260 -> 43
74 <- 260
132 <- 260
260 -> 268
260 -> 306
444 <- 260
481 <- 260
486 <- 260
261 -> 5
51 <- 261
261 -> 178
261 -> 248
280 <- 261
367 <- 261
261 -> 373
261 -> 406
261 -> 419
261 -> 460
261 -> 483
262 -> 118
144 <- 262
179 <- 262
263 -> 29
319 <- 263
263 -> 341
366 <- 263
407 <- 263
409 <- 263
263 -> 419
263 -> 486
494 <- 263
156 <- 264
160 <- 264
208 <- 264
411 <- 264
264 -> 438
264 -> 492
39 <- 265
265 -> 119
265 -> 236
309 <- 265
436 <- 265
456 <- 265
265 -> 471
73 <- 266
266 -> 181
266 -> 185
266 -> 208
266 -> 245
266 -> 422
266 -> 450
267 -> 378
267 -> 470
268 -> 9
268 -> 41
268 -> 62
69 <- 268
362 <- 268
481 <- 268
282 <- 269
402 <- 269
85 <- 270
270 -> 126
133 <- 270
237 <- 270
270 -> 360
270 -> 391
406 <- 270
270 -> 414
19 <- 271
177 <- 271
271 -> 208
271 -> 290
271 -> 342
271 -> 464
271 -> 467
38 <- 272
272 -> 82
272 -> 129
272 -> 135
272 -> 242
272 -> 390
272 -> 443
273 -> 22
273 -> 71
273 -> 109
273 -> 117
273 -> 218
273 -> 247
273 -> 325
377 <- 273
273 -> 449
471 <- 273
8 <- 274
274 -> 268
274 -> 271
274 -> 341
387 <- 274
3 <- 275
214 <- 275
275 -> 309
392 <- 275
275 -> 402
404 <- 275
405 <- 275
275 -> 423
447 <- 275
276 -> 102
276 -> 201
211 <- 276
276 -> 484
6 <- 277
277 -> 16
47 <- 277
79 <- 277
277 -> 118
277 -> 140
154 <- 277
251 <- 277
313 <- 277
277 -> 448
109 <- 278
278 -> 143
278 -> 303
319 <- 278
278 -> 490
279 -> 21
33 <- 279
279 -> 189
279 -> 200
279 -> 237
279 -> 345
356 <- 279
279 -> 436
468 <- 279
2 <- 280
13 <- 280
15 <- 280
280 -> 110
280 -> 165
280 -> 210
400 <- 280
280 -> 481
281 -> 169
281 -> 174
283 <- 281
281 -> 301
320 <- 281
282 -> 13
282 -> 32
83 <- 282
282 -> 96
467 <- 282
283 -> 68
283 -> 167
251 <- 283
281 <- 283
283 -> 314
283 -> 412
64 <- 284
284 -> 115
284 -> 135
137 <- 284
163 <- 284
284 -> 314
284 -> 393
285 -> 37
285 -> 406
286 -> 21
150 <- 286
155 <- 286
286 -> 242
